,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Cod.,Nombre,Cód. Barra,Desc.,IVA,Mon.,Unitario,Empaque
Precios finales con IVA incluído. Suejta a modificaciones y a disponibilidad de stock.,,,,Fecha de actualización:,,,7/1/2024
,"100,100 • Legumbres y Otros",,,,,,
,,,,,,,
1172,Alpiste 25 kg,,25 kg,EXE,U$S,1.75,43.75
B171,Alpiste 5 kg,,5 kg,EXE,U$S,2.01,10.05
0022,Arvejas Secas 25 kg,,25 kg,22%,U$S,1.23,30.76
K002,Arvejas Secas 1 kg,,12 unid.,22%,U$S,1.42,17.04
1190,Avena Laminada 25 kg,,25 kg,22%,U$S,1.40,35.00
B1190,"Avena Laminada 2,5 kg",,Unitario,22%,U$S,1.61,4.03
K1190,Avena Laminada 1 kg,,10 unid.,22%,U$S,1.68,16.80
1191,Avena Arrollada 25 kg,,25 kg,22%,U$S,1.40,35.00
B1191,"Avena Arrollada 2,5 kg",,Unitario,22%,U$S,1.61,4.03
K1191,Avena Arrollada 1 kg,,10 unid.,22%,U$S,1.68,16.80
1192,Harina de Avena Integral 25 kg,,25 kg,10%,U$S,1.45,36.26
K1192,Harina de Avena Integral 1 kg,,Unitario,10%,U$S,1.74,1.74
136,Fariña de Mandioca 25 kg,,25 kg,22%,U$S,2.30,57.50
B136,Fariña de Mandioca 5 kg,,5 kg,22%,U$S,2.65,13.25
1366,Fécula de Mandioca 25 kg,,25 kg,22%,U$S,1.40,35.00
B1366,Fécula de Mandioca 5 kg,,5 kg,22%,U$S,1.61,8.05
K1366,Fécula de Mandioca 1 kg,,12 unid.,22%,U$S,1.68,20.16
077,Fécula de Maíz Amisol 25 kg,,25 kg,22%,U$S,0.92,23.06
K077,Fécula de Maíz Amisol 1 kg,,25 unid.,22%,U$S,1.30,32.50
282,Garbanzos 8mm 25 kg,,25 kg,22%,U$S,1.82,45.50
B281,Garbanzos 8mm 5 kg,,5 kg,22%,U$S,2.10,10.50
K281,Garbanzos 8mm 1 kg,7730905132102,12 unid.,22%,U$S,2.18,26.16
173,Harina de Maíz 25 kg,,25 kg,10%,$,35.41,885.15
B114,Harina de Maíz 5 kg,,5 kg,10%,$,37.60,188.00
0040,Lentejas Argentinas 25 kg,,25 kg,22%,U$S,2.15,53.75
288,Lentejón Canadiense Laird N°2 25 kg ,,25 kg,22%,U$S,2.86,71.50
B0055,Lentejón Canadiense Laird N°2 5 kg ,,5 kg,22%,U$S,3.28,16.40
K288,Lentejón Canadiense Laird N°2 1 kg ,7730905132263,12 unid.,22%,U$S,3.43,41.16
089,Maíz Pisingallo 25 kg,,25 kg,EXE,U$S,0.00,0.00
0895,Maíz Pisingallo 20 kg,,20 kg,EXE,U$S,1.10,22.00
B089,Maíz Pisingallo 5 kg,,5 kg,EXE,U$S,1.26,6.30
112,Maní con Cáscara 10 kg,,10 kg,EXE,$,120.00,1200.00
0785,Maní en Grana 25 kg,,25 kg,22%,U$S,3.00,75.00
178,Maní Runner 25 kg,,25 kg,22%,U$S,3.00,75.00
B078,Maní Runner 5 kg,,5 kg,22%,U$S,3.45,17.25
0781,Maní Tostado Salado 25 kg,,25 kg,22%,U$S,3.43,85.73
0783,Maní Tostado sin Sal 25 kg,,25 kg,22%,U$S,3.43,85.73
116,Mazamorra 25 kg,,25 kg,22%,$,63.90,1597.50
B116,Mazamorra 5 kg,,5 kg,22%,$,71.00,355.00
B117,Mazamorra Blanca 5 kg,,5 kg,22%,$,149.50,747.50
1919,Poroto Alubia 25 kg,,25 kg,22%,U$S,2.07,51.75
B1919,Poroto Alubia 5 kg,,5 kg,22%,U$S,2.38,11.90
K1919,Poroto Alubia 1 kg,,12 unid.,22%,U$S,2.48,29.76
148,Poroto de Soja 25 kg,,25 kg,22%,U$S,1.20,30.00
K148,Poroto de Soja 1 kg,,12 unid.,22%,U$S,1.44,17.28
110,Poroto Frutilla 25 kg,,25 kg,22%,U$S,2.40,60.00
B098,Poroto Frutilla 5 kg,,5 kg,22%,U$S,2.88,14.40
K098,Poroto Frutilla 1 kg,,12 unid.,22%,U$S,3.00,36.00
191,Poroto Manteca 25 kg,,25 kg,22%,U$S,3.05,76.25
B191,Poroto Manteca 5 kg,,5 kg,22%,U$S,3.50,17.50
K191,Poroto Manteca 1 kg,7730905132133,12 unid.,22%,U$S,3.66,43.92
149,Poroto Negro 25 kg,,25 kg,22%,U$S,1.89,47.25
B149,Poroto Negro 5 kg,,5 kg,22%,U$S,2.17,10.85
K149,Poroto Negro 1 kg,7730905132270,12 unid.,22%,U$S,2.27,27.24
182,Puré de Papas Blanco 20 kg (Suc. Paso de la Arena),,20 kg,22%,U$S,4.50,90.00
183,Puré de Papas Blanco 17 kg (Suc. Villa Española),,17 kg,22%,U$S,4.50,76.50
B180,Puré de Papas Blanco 2 kg,7730905132010,2 kg,22%,U$S,5.52,11.04
K180,Puré de Papas Blanco 1 kg,7730905131969,1 kg,22%,U$S,5.76,5.76
1110,Arroz Blanco Japonés Grano Corto Mirokumai 5 kg,7730900890014,5 kg,10%,$,103.2864,516.43
1111,Arroz Blanco Japonés Grano Corto Mirokumai 1 kg,,1 kg,10%,$,104.94,104.94
1112,Arroz Integral Japonés Grano Corto Mirokumai 1 kg,7730900890038,1 kg,10%,$,104.94,104.94
Cód.,Nombre,Cód. Barra,Desc.,IVA,Mon.,Unitario,Empaque
,,,,Fecha de actualización:,,,7/1/2024
,"100,101 • Semillas",,,,,,
,,,,,,,
2864,Girasol con Cáscara 20 kg,,20 kg,EXE,U$S,1.51,30.20
B2864,Girasol con Cáscara 5 kg,,5 kg,EXE,U$S,1.74,8.69
K2864,Girasol con Cáscara 1 kg,,12 unid.,EXE,U$S,1.81,21.74
2860,"Girasol Confitero 22,68 kg",,"22,68 kg",22%,U$S,2.52,57.16
B286,Girasol Confitero 5 kg,,5 kg,22%,U$S,2.90,14.52
K2860,Girasol Confitero 1 kg,7730905132454,12 unid.,22%,U$S,3.02,36.24
K2861,Girasol Tostado 1 kg,7739753120903,1 kg,22%,U$S,5.30,5.30
K2862,Girasol Tostado con Sal 1 kg,7739753120910,1 kg,22%,U$S,5.30,5.30
K2863,Girasol Tostado con Soja 1 kg,7739753120934,1 kg,22%,U$S,5.30,5.30
314,Semilla de Zapallo 25 kg,,25 kg,22%,U$S,7.93,198.25
B314,Semilla de Zapallo 5 kg,,5 kg,22%,U$S,8.33,41.65
